# t (s)	mx ()	my ()	mz ()	E_total (J)	E_demag (J)	E_exch (J)	B_effx (T)	B_effy (T)	B_effz (T)	B_demagx (T)	B_demagy (T)	B_demagz (T)	B_exchx (T)	B_exchy (T)	B_exchz (T)
0	-3.772446e-09	0	-0.0023313675	5.316116e-19	7.115554e-20	4.604561e-19	-2.0954758e-09	0	5.2927295e-05	-5.2386895e-10	-4.656613e-10	5.3094656e-05	-2.3283064e-09	0	-1.671724e-07
1.0003609952555835e-11	3.621548e-08	-5.338011e-08	-0.60505164	-6.1705315e-20	8.687421e-20	-1.4857953e-19	-5.820766e-10	-8.9858077e-10	-0.009714992	-2.1668711e-10	4.947651e-10	0.013136435	-3.4924597e-10	-1.4842954e-09	-0.022851426
2.000442349085857e-11	1.4486191e-07	1.1694582e-08	-0.60586715	-6.182811e-20	8.702617e-20	-1.4885429e-19	1.6298145e-09	6.693881e-10	-0.009698124	-1.0568328e-09	-1.09139364e-10	0.013153689	2.7939677e-09	8.58563e-10	-0.022851812
3.000312454615293e-11	-3.621548e-08	3.8856192e-07	-0.6058307	-6.1828106e-20	8.701828e-20	-1.4884638e-19	-2.3283064e-10	8.760253e-09	-0.009699188	2.755769e-10	-3.3905962e-09	0.013152922	-5.820766e-10	1.2121745e-08	-0.022852108
4.000195333988002e-11	-9.05387e-07	-2.8293345e-08	-0.6058306	-6.182811e-20	8.701825e-20	-1.4884636e-19	-2.0256266e-08	-1.9936124e-09	-0.009699193	8.100869e-09	1.5279511e-10	0.013152918	-2.8056093e-08	-2.1827873e-09	-0.022852112
5.00059251441869e-11	-1.0864644e-07	-1.9601628e-06	-0.6058306	-6.1828125e-20	8.701824e-20	-1.4884636e-19	-2.3283064e-09	-4.1356543e-08	-0.009699193	9.943051e-10	1.7076673e-08	0.013152916	-3.3760443e-09	-5.8469595e-08	-0.022852112
6.000176218373387e-11	4.1527082e-06	-4.6438808e-07	-0.6058306	-6.182809e-20	8.7018257e-20	-1.4884636e-19	8.8475645e-08	-8.571078e-09	-0.009699192	-3.623154e-08	3.976311e-09	0.013152919	1.2444798e-07	-1.2660166e-08	-0.02285211
7.000501762460984e-11	1.3882601e-06	8.872038e-06	-0.6058306	-6.182811e-20	8.7018257e-20	-1.4884637e-19	2.8288923e-08	1.8741412e-07	-0.009699191	-1.2136979e-08	-7.725612e-08	0.013152919	4.0396117e-08	2.6478665e-07	-0.02285211
8.000409954462325e-11	-1.8940696e-05	3.933529e-06	-0.6058306	-6.182809e-20	8.7018257e-20	-1.4884636e-19	-4.0209852e-07	8.352799e-08	-0.009699193	1.6486274e-07	-3.4186087e-08	0.013152918	-5.6717545e-07	1.1769589e-07	-0.022852112
9.000863128198127e-11	-1.0502489e-05	-4.0205974e-05	-0.6058306	-6.182811e-20	8.7018257e-20	-1.4884636e-19	-2.2083987e-07	-8.5252395e-07	-0.009699193	9.159157e-08	3.4996629e-07	0.013152918	-3.1245872e-07	-1.202483e-06	-0.022852112
