# t (s)	mx ()	my ()	mz ()	E_total (J)	E_demag (J)	E_exch (J)	B_effx (T)	B_effy (T)	B_effz (T)	B_demagx (T)	B_demagy (T)	B_demagz (T)	B_exchx (T)	B_exchy (T)	B_exchz (T)
0	0	3.9610684e-09	-0.0034119152	5.845895e-19	3.0046037e-21	5.815849e-19	-1.8626451e-09	1.8703759e-09	8.1204664e-05	8.20819e-11	1.0459189e-11	8.120466e-05	-9.313226e-10	1.3969839e-09	-4.3655746e-11
2.5056530695099163e-12	1.2071827e-08	-1.2071827e-08	-0.59205943	3.0733759e-19	1.0561867e-19	2.0171891e-19	2.3283064e-10	4.656613e-10	0.014869557	2.6147973e-11	-9.458745e-11	0.014869556	-4.656613e-10	0	-9.458745e-11
5.0098913598282896e-12	1.5089784e-08	-6.0359135e-09	-0.8230625	2.5399036e-19	1.6201913e-19	9.1971214e-20	2.3283064e-10	0	0.01969054	5.95719e-11	6.548362e-11	0.019690542	0	0	5.456968e-12
7.501122440374608e-12	4.2251393e-08	1.5089784e-09	-0.88298965	2.3445039e-19	1.7288605e-19	6.156434e-20	-4.656613e-10	5.820766e-11	0.020299766	-2.814886e-10	1.8189894e-11	0.020299766	0	1.1641532e-10	3.274181e-11
1.0009131565174248e-11	6.0359135e-09	6.7904026e-08	-0.93639106	2.2642177e-19	1.9257915e-19	3.3842628e-20	-2.3283064e-10	-3.4924597e-10	0.021062758	1.623448e-10	-4.474714e-10	0.021062758	2.3283064e-10	-2.3283064e-10	-2.1827873e-11
1.2509494634666467e-11	-1.6598761e-07	-9.05387e-09	-0.97367	2.2186985e-19	2.0774707e-19	1.4122771e-20	1.3969839e-09	3.4924597e-10	0.021815684	1.3433237e-09	1.6734703e-10	0.021815686	0	1.1641532e-10	7.730705e-12
1.500776990525214e-11	7.0921985e-08	-3.6668175e-07	-0.9881366	2.19542e-19	2.1315903e-19	6.382993e-21	-5.529728e-10	2.7939677e-09	0.022243597	-5.9299055e-10	2.8612703e-09	0.022243597	0	-5.820766e-11	-3.637979e-12
1.751145901721069e-11	8.284291e-07	2.9726874e-07	-0.99297285	2.1864943e-19	2.1486648e-19	3.7829562e-21	-6.6356733e-09	-2.5029294e-09	0.022498574	-6.5492713e-09	-2.3210305e-09	0.022498574	0	-2.910383e-11	-1.364242e-12
2.000825415826356e-11	-1.0185604e-06	1.8447261e-06	-0.99641633	2.183101e-19	2.1638e-19	1.930109e-21	8.381903e-09	-1.4544639e-08	0.022682318	8.417828e-09	-1.4533725e-08	0.022682317	0	0	-1.080025e-12
2.2504104917280906e-11	-3.933152e-06	-3.1588575e-06	-0.9989624	2.1810543e-19	2.1754628e-19	5.5916233e-22	3.131572e-08	2.5385816e-08	0.022783484	3.126297e-08	2.5389454e-08	0.022783484	0	-7.275958e-12	-3.126388e-13
2.5005962077049074e-11	9.192885e-06	-7.9144975e-06	-0.9999343	2.1797354e-19	2.1793805e-19	3.5472566e-23	-7.330527e-08	6.293885e-08	0.022801083	-7.3318915e-08	6.294067e-08	0.022801083	7.275958e-12	0	-3.0198066e-14
2.750939754456625e-11	1.4654632e-05	2.5239784e-05	-0.9998837	2.1791143e-19	2.1784872e-19	6.2719314e-23	-1.17201125e-07	-2.0142761e-07	0.022773575	-1.1720749e-07	-2.0142397e-07	0.022773575	-7.275958e-12	-7.275958e-12	-8.881784e-14
3.001142718197006e-11	-6.602629e-05	2.3637956e-05	-0.99963087	2.1788889e-19	2.176899e-19	1.9900477e-22	5.275215e-07	-1.9010622e-07	0.022741152	5.2752966e-07	-1.9010986e-07	0.02274115	0	1.4551915e-11	-1.4921397e-13
3.250607212645899e-11	-2.8072467e-05	-0.00016562999	-0.9995124	2.1787868e-19	2.1761576e-19	2.629201e-22	2.2653694e-07	1.3255922e-06	0.0227223	2.2652966e-07	1.3255849e-06	0.0227223	1.4551915e-11	-2.910383e-11	-2.842171e-14
3.5010216704557955e-11	0.00040366562	5.7756147e-06	-0.99952	2.1787172e-19	2.17613e-19	2.5870874e-22	-3.2318385e-06	-4.5227353e-08	0.022717923	-3.2318508e-06	-4.5223715e-08	0.022717923	1.4551915e-11	0	9.947598e-14
3.7518084026822096e-11	-0.00019232603	0.00095227774	-0.99958336	2.178672e-19	2.1764337e-19	2.238123e-22	1.5425635e-06	-7.6219585e-06	0.022722429	1.542569e-06	-7.6219912e-06	0.022722427	9.094947e-13	0	-1.563194e-13
4.0012363275803465e-11	-0.0021653522	-0.00085257465	-0.99965197	2.1786244e-19	2.1767964e-19	1.828049e-22	1.7322202e-05	6.8346853e-06	0.022729546	1.7322203e-05	6.834678e-06	0.022729544	0	1.4551915e-11	-2.2737368e-13
4.2502408221818526e-11	0.0029013227	-0.004750685	-0.9996682	2.1784383e-19	2.1769367e-19	1.5016381e-22	-2.3236944e-05	3.7987164e-05	0.022734486	-2.3236951e-05	3.7987124e-05	0.022734486	-1.8189894e-12	-2.910383e-11	0
4.500347888534e-11	0.0099635925	0.008901879	-0.99943745	2.1773687e-19	2.1760364e-19	1.3323203e-22	-7.965449e-05	-7.124657e-05	0.022731517	-7.96545e-05	-7.1246555e-05	0.022731515	-3.637979e-12	1.4551915e-11	-2.2737368e-13
4.7500003793717e-11	-0.025114974	0.019697081	-0.9979024	2.1711178e-19	2.169798e-19	1.320245e-22	0.00020093918	-0.00015746812	0.022696849	0.0002009392	-0.00015746808	0.022696849	-1.364242e-12	-1.4551915e-11	0
5.000739904753577e-11	-0.035260703	-0.06629114	-0.9889372	2.1350395e-19	2.1335917e-19	1.4478088e-22	0.00028187447	0.00053029764	0.022492204	0.00028187444	0.00053029764	0.022492206	-2.3305802e-12	0	0
5.251045043635026e-11	0.14822084	-0.056031287	-0.94208187	1.9536561e-19	1.9518654e-19	1.7906837e-22	-0.0011853648	0.00044753565	0.021426374	-0.001185365	0.00044753563	0.021426374	3.1832315e-12	2.910383e-11	-1.8189894e-12
5.50079159706728e-11	0.09182177	0.18813637	-0.7759238	1.3969638e-19	1.3949379e-19	2.025901e-22	-0.0007326424	-0.0015024374	0.01765022	-0.0007326424	-0.0015024373	0.017650222	1.1823431e-11	1.4551915e-11	9.094947e-12
5.750937619911485e-11	0.015934328	0.07805781	-0.48405606	6.610193e-20	6.597086e-20	1.3106432e-22	-0.00012897636	-0.0006245584	0.011015624	-0.00012897637	-0.0006245584	0.011015624	-3.637979e-12	0	-3.637979e-12
6.000681581699742e-11	0.17072318	0.107637264	-0.23085575	2.6452456e-20	2.638936e-20	6.309486e-23	-0.0013621933	-0.00086282537	0.0052544465	-0.0013621935	-0.00086282537	0.0052544465	1.364242e-12	9.094947e-13	7.275958e-12
6.250286413330765e-11	0.21067245	0.19956465	-0.098158345	1.6643842e-20	1.660129e-20	4.2550476e-23	-0.0016841022	-0.0015959456	0.002233785	-0.0016841022	-0.0015959456	0.0022337849	2.046363e-12	-4.5474735e-13	-1.8189894e-12
6.500180750539134e-11	0.20254233	0.23794901	-0.040649064	1.491667e-20	1.4880331e-20	3.6338524e-23	-0.0016201098	-0.0019017435	0.0009251304	-0.0016201098	-0.0019017436	0.0009251303	-3.4106051e-12	-6.1390892e-12	0
6.750966165505533e-11	0.18786524	0.24298364	-0.016694443	1.4624613e-20	1.4589068e-20	3.5544993e-23	-0.0015031634	-0.0019414454	0.0003799353	-0.0015031634	-0.0019414454	0.00037993526	3.637979e-12	-1.8189894e-12	0
7.00071702400224e-11	0.17363232	0.23391695	-0.0068543344	1.4551052e-20	1.4515081e-20	3.597047e-23	-0.0013894788	-0.0018688212	0.00015599417	-0.0013894787	-0.001868821	0.0001559942	3.8653525e-12	1.8189894e-12	0
7.251023577035318e-11	0.16029774	0.21964203	-0.00278016	1.4505677e-20	1.4468967e-20	3.670791e-23	-0.0012828768	-0.0017547132	6.3271495e-05	-0.0012828768	-0.0017547132	6.3271495e-05	4.5474735e-13	-5.9117156e-12	0
7.500668599554523e-11	0.14784166	0.20395632	-0.0010979072	1.4464988e-20	1.4427502e-20	3.748639e-23	-0.0011832544	-0.0016293861	2.498657e-05	-0.0011832544	-0.0016293861	2.4986628e-05	1.7053026e-12	-3.1832315e-12	0
7.750292992801076e-11	0.13617843	0.18834858	-0.0003971303	1.4427817e-20	1.4389592e-20	3.8224953e-23	-0.001089951	-0.0015046988	9.038311e-06	-0.0010899509	-0.0015046988	9.038369e-06	-4.5474735e-13	5.002221e-12	-1.8189894e-12
8.001622189929243e-11	0.12521702	0.17332354	-0.00010093773	1.439461e-20	1.4355716e-20	3.8893635e-23	-0.0010022487	-0.0013846718	2.2974564e-06	-0.0010022488	-0.0013846719	2.2973982e-06	-1.5916157e-12	3.1832315e-12	-1.8189894e-12
8.250869097319332e-11	0.1151046	0.15932868	2.4867775e-05	1.4365995e-20	1.4326515e-20	3.9480614e-23	-0.00092133105	-0.0012728747	-5.654874e-07	-0.000921331	-0.0012728747	-5.6560384e-07	-3.637979e-12	4.5474735e-12	0
8.500670068554936e-11	0.10570326	0.1462688	8.1160215e-05	1.4341354e-20	1.430136e-20	3.9993954e-23	-0.00084609666	-0.001168546	-1.8466963e-06	-0.00084609666	-0.0011685462	-1.8466963e-06	9.094947e-13	1.8189894e-12	-1.8189894e-12
8.750049142676738e-11	0.09701896	0.13418825	0.000107958534	1.4320372e-20	1.4279934e-20	4.0437663e-23	-0.00077659625	-0.0010720405	-2.456538e-06	-0.0007765962	-0.0010720405	-2.456538e-06	1.1368684e-12	0	0
9.00094127393016e-11	0.08895222	0.12296271	0.00012214699	1.4302455e-20	1.4261634e-20	4.082039e-23	-0.000712035	-0.0009823637	-2.7795904e-06	-0.000712035	-0.0009823637	-2.7795904e-06	1.364242e-12	-1.8189894e-12	3.637979e-12
9.251670689183115e-11	0.08152283	0.11262505	0.00013057039	1.4287307e-20	1.4246158e-20	4.1148386e-23	-0.0006525723	-0.00089977885	-2.9713265e-06	-0.00065257214	-0.0008997789	-2.9712683e-06	-1.1368684e-12	-2.728484e-12	1.8189894e-12
9.500057258087897e-11	0.07474612	0.10319851	0.00013616304	1.4274632e-20	1.4233206e-20	4.142624e-23	-0.000598332	-0.0008244725	-3.0985684e-06	-0.000598332	-0.00082447246	-3.0986848e-06	-9.094947e-13	0	-3.637979e-12
9.750791704948753e-11	0.06845431	0.09445015	0.0001403018	1.4263844e-20	1.4222178e-20	4.166596e-23	-0.0005479705	-0.00075458334	-3.192923e-06	-0.0005479706	-0.00075458334	-3.1930394e-06	6.82121e-13	2.2737368e-12	-1.8189894e-12
1e-10	0.06270855	0.086465016	0.00014348762	1.4254818e-20	1.4212948e-20	4.1869064e-23	-0.0005019793	-0.00069079094	-3.265508e-06	-0.0005019793	-0.000690791	-3.2654498e-06	-2.2737368e-12	-1.8189894e-12	1.8189894e-12
